Sheet Name,Source Row,Kept Row,Question,Question Type,Category,Options,Removal Reason
This or That,107,2,Dominant or submissive?,Preference,Sexual,Dominant | submissive,Exact duplicate question text in the same sheet.
This or That,108,3,Candlelit dinner or breakfast in bed?,Preference,Sexual,Candlelit dinner | breakfast in bed,Exact duplicate question text in the same sheet.
This or That,109,4,Slow sensual kiss or playful peck?,Preference,Sexual,Slow sensual kiss | playful peck,Exact duplicate question text in the same sheet.
This or That,110,5,Dirty talk or romantic whispers?,Preference,Sexual,Dirty talk | romantic whispers,Exact duplicate question text in the same sheet.
This or That,111,6,Tease or be teased?,Preference,Sexual,Tease | teased,Exact duplicate question text in the same sheet.
This or That,112,7,Public flirt or private affection?,Preference,Sexual,Public flirt | private affection,Exact duplicate question text in the same sheet.
This or That,113,8,Morning intimacy or late-night passion?,Preference,Sexual,Morning intimacy | late-night passion,Exact duplicate question text in the same sheet.
This or That,114,9,Whisper in your ear or bite your lip?,Preference,Sexual,Whisper in your ear | bite your lip,Exact duplicate question text in the same sheet.
This or That,115,10,Quick make-out or long make-out session?,Preference,Sexual,Quick make-out | long make-out session,Exact duplicate question text in the same sheet.
This or That,116,11,Massage or cuddle session?,Preference,Sexual,Massage | cuddle session,Exact duplicate question text in the same sheet.
This or That,117,12,Lingerie or cosy pyjamas?,Preference,Sexual,Lingerie | cosy pyjamas,Exact duplicate question text in the same sheet.
This or That,118,13,Blindfold or ice cubes?,Preference,Sexual,Blindfold | ice cubes,Exact duplicate question text in the same sheet.
This or That,119,14,Handcuffs or silk tie?,Preference,Sexual,Handcuffs | silk tie,Exact duplicate question text in the same sheet.
This or That,120,15,Chocolate sauce or whipped cream?,Preference,Sexual,Chocolate sauce | whipped cream,Exact duplicate question text in the same sheet.
This or That,121,16,Roleplay or costumes?,Preference,Sexual,Roleplay | costumes,Exact duplicate question text in the same sheet.
This or That,122,17,Sweet compliments or naughty compliments?,Preference,Sexual,Sweet compliments | naughty compliments,Exact duplicate question text in the same sheet.
This or That,123,18,Shower fun or bath together?,Preference,Sexual,Shower fun | bath together,Exact duplicate question text in the same sheet.
This or That,124,19,Sunrise cuddle or sunset kiss?,Preference,Sexual,Sunrise cuddle | sunset kiss,Exact duplicate question text in the same sheet.
This or That,125,20,Soft moans or loud moans?,Preference,Sexual,Soft moans | loud moans,Exact duplicate question text in the same sheet.
This or That,126,21,Being in control or letting go?,Preference,Sexual,Being in control | letting go,Exact duplicate question text in the same sheet.
This or That,127,22,Foreplay or afterplay?,Preference,Sexual,Foreplay | afterplay,Exact duplicate question text in the same sheet.
This or That,128,23,Secret fantasies or shared fantasies?,Preference,Sexual,Secret fantasies | shared fantasies,Exact duplicate question text in the same sheet.
This or That,129,24,Sensual massage oil or candles?,Preference,Sexual,Sensual massage oil | candles,Exact duplicate question text in the same sheet.
This or That,130,25,Flirting in public or whispering in private?,Preference,Sexual,Flirting in public | whispering in private,Exact duplicate question text in the same sheet.
This or That,131,26,Slow undressing or ripped clothes?,Preference,Sexual,Slow undressing | ripped clothes,Exact duplicate question text in the same sheet.
This or That,132,27,Sunset picnic or stargazing?,Preference,Romance,Sunset picnic | stargazing,Exact duplicate question text in the same sheet.
This or That,133,28,Love note or love song?,Preference,Romance,Love note | love song,Exact duplicate question text in the same sheet.
This or That,134,29,Surprise getaway or surprise gift?,Preference,Romance,Surprise getaway | surprise gift,Exact duplicate question text in the same sheet.
This or That,135,30,Holding hands or hugging tight?,Preference,Romance,Holding hands | hugging tight,Exact duplicate question text in the same sheet.
This or That,136,31,Dancing under the stars or cuddling on the couch?,Preference,Romance,Dancing under the stars | cuddling on the couch,Exact duplicate question text in the same sheet.
This or That,137,32,Saying i love you or showing it?,Preference,Romance,Saying i love you | showing it,Exact duplicate question text in the same sheet.
This or That,138,33,Long walk on the beach or cosy movie night?,Preference,Romance,Long walk on the beach | cosy movie night,Exact duplicate question text in the same sheet.
This or That,139,34,Candlelit dinner or spontaneous road trip?,Preference,Romance,Candlelit dinner | spontaneous road trip,Exact duplicate question text in the same sheet.
This or That,140,35,Couple’s spa day or cooking together?,Preference,Romance,Couple’s spa day | cooking together,Exact duplicate question text in the same sheet.
This or That,141,36,Slow dance or playful karaoke?,Preference,Romance,Slow dance | playful karaoke,Exact duplicate question text in the same sheet.
This or That,142,37,Beach or city break?,Preference,Travel,Beach | city break,Exact duplicate question text in the same sheet.
This or That,143,38,Mountains or desert?,Preference,Travel,Mountains | desert,Exact duplicate question text in the same sheet.
This or That,144,39,Cultural tour or adventure holiday?,Preference,Travel,Cultural tour | adventure holiday,Exact duplicate question text in the same sheet.
This or That,145,40,Road trip or cruise?,Preference,Travel,Road trip | cruise,Exact duplicate question text in the same sheet.
This or That,146,41,Tropical island or snowy cabin?,Preference,Travel,Tropical island | snowy cabin,Exact duplicate question text in the same sheet.
This or That,147,42,Backpacking or luxury resort?,Preference,Travel,Backpacking | luxury resort,Exact duplicate question text in the same sheet.
This or That,148,43,Sunrise hike or sunset boat ride?,Preference,Travel,Sunrise hike | sunset boat ride,Exact duplicate question text in the same sheet.
This or That,149,44,Ancient ruins or modern skyline?,Preference,Travel,Ancient ruins | modern skyline,Exact duplicate question text in the same sheet.
This or That,150,45,Spa retreat or ski trip?,Preference,Travel,Spa retreat | ski trip,Exact duplicate question text in the same sheet.
This or That,151,46,Camping under the stars or glamping?,Preference,Travel,Camping under the stars | glamping,Exact duplicate question text in the same sheet.
This or That,152,47,Sweet dessert or savoury snack?,Preference,Food & Drink,Sweet dessert | savoury snack,Exact duplicate question text in the same sheet.
This or That,153,48,Wine or cocktail?,Preference,Food & Drink,Wine | cocktail,Exact duplicate question text in the same sheet.
This or That,154,49,Home-cooked meal or fancy restaurant?,Preference,Food & Drink,Home-cooked meal | fancy restaurant,Exact duplicate question text in the same sheet.
This or That,155,50,Coffee date or brunch date?,Preference,Food & Drink,Coffee date | brunch date,Exact duplicate question text in the same sheet.
This or That,156,51,Chocolate or vanilla?,Preference,Food & Drink,Chocolate | vanilla,Exact duplicate question text in the same sheet.
This or That,157,52,Pizza night or sushi night?,Preference,Food & Drink,Pizza night | sushi night,Exact duplicate question text in the same sheet.
This or That,158,53,Breakfast in bed or midnight snack?,Preference,Food & Drink,Breakfast in bed | midnight snack,Exact duplicate question text in the same sheet.
This or That,159,54,Hot and spicy or rich and creamy?,Preference,Food & Drink,Hot and spicy | rich and creamy,Exact duplicate question text in the same sheet.
This or That,160,55,Takeout or homemade?,Preference,Food & Drink,Takeout | homemade,Exact duplicate question text in the same sheet.
This or That,161,56,Red wine or white wine?,Preference,Food & Drink,Red wine | white wine,Exact duplicate question text in the same sheet.
This or That,162,57,Early bird or night owl?,Preference,Lifestyle,Early bird | night owl,Exact duplicate question text in the same sheet.
This or That,163,58,Planner or spontaneous?,Preference,Lifestyle,Planner | spontaneous,Exact duplicate question text in the same sheet.
This or That,164,59,Neat freak or a little messy?,Preference,Lifestyle,Neat freak | a little messy,Exact duplicate question text in the same sheet.
This or That,165,60,Mountain biking or yoga class?,Preference,Lifestyle,Mountain biking | yoga class,Exact duplicate question text in the same sheet.
This or That,166,61,Staying in or going out?,Preference,Lifestyle,Staying in | going out,Exact duplicate question text in the same sheet.
This or That,167,62,Cuddling on the couch or dancing at a club?,Preference,Lifestyle,Cuddling on the couch | dancing at a club,Exact duplicate question text in the same sheet.
This or That,168,63,Morning workout or evening workout?,Preference,Lifestyle,Morning workout | evening workout,Exact duplicate question text in the same sheet.
This or That,169,64,Reading books or watching movies?,Preference,Lifestyle,Reading books | watching movies,Exact duplicate question text in the same sheet.
This or That,170,65,Dog person or cat person?,Preference,Lifestyle,Dog person | cat person,Exact duplicate question text in the same sheet.
This or That,171,66,Social butterfly or homebody?,Preference,Lifestyle,Social butterfly | homebody,Exact duplicate question text in the same sheet.
This or That,172,67,Rom-com or thriller?,Preference,Films & TV,Rom-com | thriller,Exact duplicate question text in the same sheet.
This or That,173,68,Series binge or movie night?,Preference,Films & TV,Series binge | movie night,Exact duplicate question text in the same sheet.
This or That,174,69,Live concert or quiet playlist?,Preference,Films & TV,Live concert | quiet playlist,Exact duplicate question text in the same sheet.
This or That,175,70,Dance party or singalong?,Preference,Films & TV,Dance party | singalong,Exact duplicate question text in the same sheet.
This or That,176,71,Stand-up comedy or drama film?,Preference,Films & TV,Stand-up comedy | drama film,Exact duplicate question text in the same sheet.
This or That,177,72,Horror movie or documentary?,Preference,Films & TV,Horror movie | documentary,Exact duplicate question text in the same sheet.
This or That,178,73,Game night or trivia night?,Preference,Films & TV,Game night | trivia night,Exact duplicate question text in the same sheet.
This or That,179,74,Classic film or new release?,Preference,Films & TV,Classic film | new release,Exact duplicate question text in the same sheet.
This or That,180,75,Karaoke bar or open mic?,Preference,Films & TV,Karaoke bar | open mic,Exact duplicate question text in the same sheet.
This or That,181,76,Film festival or music festival?,Preference,Films & TV,Film festival | music festival,Exact duplicate question text in the same sheet.
This or That,182,77,Introvert or extrovert?,Preference,Personality,Introvert | extrovert,Exact duplicate question text in the same sheet.
This or That,183,78,Optimist or realist?,Preference,Personality,Optimist | realist,Exact duplicate question text in the same sheet.
This or That,184,79,Listener or talker?,Preference,Personality,Listener | talker,Exact duplicate question text in the same sheet.
This or That,185,80,Leader or follower?,Preference,Personality,Leader | follower,Exact duplicate question text in the same sheet.
This or That,186,81,Organized or spontaneous?,Preference,Personality,Organized | spontaneous,Exact duplicate question text in the same sheet.
This or That,187,82,Book smart or street smart?,Preference,Personality,Book smart | street smart,Exact duplicate question text in the same sheet.
This or That,188,83,Dreamer or doer?,Preference,Personality,Dreamer | doer,Exact duplicate question text in the same sheet.
This or That,189,84,Calm or energetic?,Preference,Personality,Calm | energetic,Exact duplicate question text in the same sheet.
This or That,190,85,Creative or analytical?,Preference,Personality,Creative | analytical,Exact duplicate question text in the same sheet.
This or That,191,86,Patient or impulsive?,Preference,Personality,Patient | impulsive,Exact duplicate question text in the same sheet.
This or That,192,87,Early shower or late shower?,Preference,Habits,Early shower | late shower,Exact duplicate question text in the same sheet.
This or That,193,88,Healthy breakfast or skip breakfast?,Preference,Habits,Healthy breakfast | skip breakfast,Exact duplicate question text in the same sheet.
This or That,194,89,Texting or calling?,Preference,Habits,Texting | calling,Exact duplicate question text in the same sheet.
This or That,195,90,Dressing up or dressing down?,Preference,Habits,Dressing up | dressing down,Exact duplicate question text in the same sheet.
This or That,196,91,Tidy desk or messy desk?,Preference,Habits,Tidy desk | messy desk,Exact duplicate question text in the same sheet.
This or That,197,92,Coffee first or tea first?,Preference,Habits,Coffee first | tea first,Exact duplicate question text in the same sheet.
This or That,198,93,Morning person or night person?,Preference,Habits,Morning person | night person,Exact duplicate question text in the same sheet.
This or That,199,94,Planning ahead or last minute?,Preference,Habits,Planning ahead | last minute,Exact duplicate question text in the same sheet.
This or That,200,95,Fresh flowers or scented candles?,Preference,Habits,Fresh flowers | scented candles,Exact duplicate question text in the same sheet.
This or That,201,96,Meal prep or spontaneous cooking?,Preference,Habits,Meal prep | spontaneous cooking,Exact duplicate question text in the same sheet.
This or That,202,97,Rich and lonely or poor and loved?,Preference,Random / Wildcard,Rich and lonely | poor and loved,Exact duplicate question text in the same sheet.
This or That,203,98,Gift of flight or gift of invisibility?,Preference,Random / Wildcard,Gift of flight | gift of invisibility,Exact duplicate question text in the same sheet.
This or That,204,99,Time travel to past or future?,Preference,Random / Wildcard,Time travel to past | future,Exact duplicate question text in the same sheet.
This or That,205,100,Win the lottery or find true love?,Preference,Random / Wildcard,Win the lottery | find true love,Exact duplicate question text in the same sheet.
This or That,206,101,Live by the ocean or live in the forest?,Preference,Random / Wildcard,Live by the ocean | live in the forest,Exact duplicate question text in the same sheet.
This or That,207,102,Be able to read minds or talk to animals?,Preference,Random / Wildcard,able to read minds | talk to animals,Exact duplicate question text in the same sheet.
This or That,208,103,Infinite knowledge or infinite wealth?,Preference,Random / Wildcard,Infinite knowledge | infinite wealth,Exact duplicate question text in the same sheet.
This or That,209,104,Always hot or always cold?,Preference,Random / Wildcard,Always hot | always cold,Exact duplicate question text in the same sheet.
This or That,210,105,See the future or change the past?,Preference,Random / Wildcard,See the future | change the past,Exact duplicate question text in the same sheet.
This or That,211,106,Have a pause button or rewind button?,Preference,Random / Wildcard,a pause button | rewind button,Exact duplicate question text in the same sheet.
This or That,212,2,Dominant or submissive?,Preference,Sexual,Dominant | submissive,Exact duplicate question text in the same sheet.
This or That,213,3,Candlelit dinner or breakfast in bed?,Preference,Sexual,Candlelit dinner | breakfast in bed,Exact duplicate question text in the same sheet.
This or That,214,4,Slow sensual kiss or playful peck?,Preference,Sexual,Slow sensual kiss | playful peck,Exact duplicate question text in the same sheet.
This or That,215,5,Dirty talk or romantic whispers?,Preference,Sexual,Dirty talk | romantic whispers,Exact duplicate question text in the same sheet.
This or That,216,6,Tease or be teased?,Preference,Sexual,Tease | teased,Exact duplicate question text in the same sheet.
This or That,217,7,Public flirt or private affection?,Preference,Sexual,Public flirt | private affection,Exact duplicate question text in the same sheet.
This or That,218,8,Morning intimacy or late-night passion?,Preference,Sexual,Morning intimacy | late-night passion,Exact duplicate question text in the same sheet.
This or That,219,9,Whisper in your ear or bite your lip?,Preference,Sexual,Whisper in your ear | bite your lip,Exact duplicate question text in the same sheet.
This or That,220,10,Quick make-out or long make-out session?,Preference,Sexual,Quick make-out | long make-out session,Exact duplicate question text in the same sheet.
This or That,221,11,Massage or cuddle session?,Preference,Sexual,Massage | cuddle session,Exact duplicate question text in the same sheet.
This or That,222,12,Lingerie or cosy pyjamas?,Preference,Sexual,Lingerie | cosy pyjamas,Exact duplicate question text in the same sheet.
This or That,223,13,Blindfold or ice cubes?,Preference,Sexual,Blindfold | ice cubes,Exact duplicate question text in the same sheet.
This or That,224,14,Handcuffs or silk tie?,Preference,Sexual,Handcuffs | silk tie,Exact duplicate question text in the same sheet.
This or That,225,15,Chocolate sauce or whipped cream?,Preference,Sexual,Chocolate sauce | whipped cream,Exact duplicate question text in the same sheet.
This or That,226,16,Roleplay or costumes?,Preference,Sexual,Roleplay | costumes,Exact duplicate question text in the same sheet.
This or That,227,17,Sweet compliments or naughty compliments?,Preference,Sexual,Sweet compliments | naughty compliments,Exact duplicate question text in the same sheet.
This or That,228,18,Shower fun or bath together?,Preference,Sexual,Shower fun | bath together,Exact duplicate question text in the same sheet.
This or That,229,19,Sunrise cuddle or sunset kiss?,Preference,Sexual,Sunrise cuddle | sunset kiss,Exact duplicate question text in the same sheet.
This or That,230,20,Soft moans or loud moans?,Preference,Sexual,Soft moans | loud moans,Exact duplicate question text in the same sheet.
This or That,231,21,Being in control or letting go?,Preference,Sexual,Being in control | letting go,Exact duplicate question text in the same sheet.
This or That,232,22,Foreplay or afterplay?,Preference,Sexual,Foreplay | afterplay,Exact duplicate question text in the same sheet.
This or That,233,23,Secret fantasies or shared fantasies?,Preference,Sexual,Secret fantasies | shared fantasies,Exact duplicate question text in the same sheet.
This or That,234,24,Sensual massage oil or candles?,Preference,Sexual,Sensual massage oil | candles,Exact duplicate question text in the same sheet.
This or That,235,25,Flirting in public or whispering in private?,Preference,Sexual,Flirting in public | whispering in private,Exact duplicate question text in the same sheet.
This or That,236,26,Slow undressing or ripped clothes?,Preference,Sexual,Slow undressing | ripped clothes,Exact duplicate question text in the same sheet.
This or That,237,27,Sunset picnic or stargazing?,Preference,Romance,Sunset picnic | stargazing,Exact duplicate question text in the same sheet.
This or That,238,28,Love note or love song?,Preference,Romance,Love note | love song,Exact duplicate question text in the same sheet.
This or That,239,29,Surprise getaway or surprise gift?,Preference,Romance,Surprise getaway | surprise gift,Exact duplicate question text in the same sheet.
This or That,240,30,Holding hands or hugging tight?,Preference,Romance,Holding hands | hugging tight,Exact duplicate question text in the same sheet.
This or That,241,31,Dancing under the stars or cuddling on the couch?,Preference,Romance,Dancing under the stars | cuddling on the couch,Exact duplicate question text in the same sheet.
This or That,242,32,Saying i love you or showing it?,Preference,Romance,Saying i love you | showing it,Exact duplicate question text in the same sheet.
This or That,243,33,Long walk on the beach or cosy movie night?,Preference,Romance,Long walk on the beach | cosy movie night,Exact duplicate question text in the same sheet.
This or That,244,34,Candlelit dinner or spontaneous road trip?,Preference,Romance,Candlelit dinner | spontaneous road trip,Exact duplicate question text in the same sheet.
This or That,245,35,Couple’s spa day or cooking together?,Preference,Romance,Couple’s spa day | cooking together,Exact duplicate question text in the same sheet.
This or That,246,36,Slow dance or playful karaoke?,Preference,Romance,Slow dance | playful karaoke,Exact duplicate question text in the same sheet.
This or That,247,37,Beach or city break?,Preference,Travel,Beach | city break,Exact duplicate question text in the same sheet.
This or That,248,38,Mountains or desert?,Preference,Travel,Mountains | desert,Exact duplicate question text in the same sheet.
This or That,249,39,Cultural tour or adventure holiday?,Preference,Travel,Cultural tour | adventure holiday,Exact duplicate question text in the same sheet.
This or That,250,40,Road trip or cruise?,Preference,Travel,Road trip | cruise,Exact duplicate question text in the same sheet.
This or That,251,41,Tropical island or snowy cabin?,Preference,Travel,Tropical island | snowy cabin,Exact duplicate question text in the same sheet.
This or That,252,42,Backpacking or luxury resort?,Preference,Travel,Backpacking | luxury resort,Exact duplicate question text in the same sheet.
This or That,253,43,Sunrise hike or sunset boat ride?,Preference,Travel,Sunrise hike | sunset boat ride,Exact duplicate question text in the same sheet.
This or That,254,44,Ancient ruins or modern skyline?,Preference,Travel,Ancient ruins | modern skyline,Exact duplicate question text in the same sheet.
This or That,255,45,Spa retreat or ski trip?,Preference,Travel,Spa retreat | ski trip,Exact duplicate question text in the same sheet.
This or That,256,46,Camping under the stars or glamping?,Preference,Travel,Camping under the stars | glamping,Exact duplicate question text in the same sheet.
This or That,257,47,Sweet dessert or savoury snack?,Preference,Food & Drink,Sweet dessert | savoury snack,Exact duplicate question text in the same sheet.
This or That,258,48,Wine or cocktail?,Preference,Food & Drink,Wine | cocktail,Exact duplicate question text in the same sheet.
This or That,259,49,Home-cooked meal or fancy restaurant?,Preference,Food & Drink,Home-cooked meal | fancy restaurant,Exact duplicate question text in the same sheet.
This or That,260,50,Coffee date or brunch date?,Preference,Food & Drink,Coffee date | brunch date,Exact duplicate question text in the same sheet.
This or That,261,51,Chocolate or vanilla?,Preference,Food & Drink,Chocolate | vanilla,Exact duplicate question text in the same sheet.
This or That,262,52,Pizza night or sushi night?,Preference,Food & Drink,Pizza night | sushi night,Exact duplicate question text in the same sheet.
This or That,263,53,Breakfast in bed or midnight snack?,Preference,Food & Drink,Breakfast in bed | midnight snack,Exact duplicate question text in the same sheet.
This or That,264,54,Hot and spicy or rich and creamy?,Preference,Food & Drink,Hot and spicy | rich and creamy,Exact duplicate question text in the same sheet.
This or That,265,55,Takeout or homemade?,Preference,Food & Drink,Takeout | homemade,Exact duplicate question text in the same sheet.
This or That,266,56,Red wine or white wine?,Preference,Food & Drink,Red wine | white wine,Exact duplicate question text in the same sheet.
This or That,267,57,Early bird or night owl?,Preference,Lifestyle,Early bird | night owl,Exact duplicate question text in the same sheet.
This or That,268,58,Planner or spontaneous?,Preference,Lifestyle,Planner | spontaneous,Exact duplicate question text in the same sheet.
This or That,269,59,Neat freak or a little messy?,Preference,Lifestyle,Neat freak | a little messy,Exact duplicate question text in the same sheet.
This or That,270,60,Mountain biking or yoga class?,Preference,Lifestyle,Mountain biking | yoga class,Exact duplicate question text in the same sheet.
This or That,271,61,Staying in or going out?,Preference,Lifestyle,Staying in | going out,Exact duplicate question text in the same sheet.
This or That,272,62,Cuddling on the couch or dancing at a club?,Preference,Lifestyle,Cuddling on the couch | dancing at a club,Exact duplicate question text in the same sheet.
This or That,273,63,Morning workout or evening workout?,Preference,Lifestyle,Morning workout | evening workout,Exact duplicate question text in the same sheet.
This or That,274,64,Reading books or watching movies?,Preference,Lifestyle,Reading books | watching movies,Exact duplicate question text in the same sheet.
This or That,275,65,Dog person or cat person?,Preference,Lifestyle,Dog person | cat person,Exact duplicate question text in the same sheet.
This or That,276,66,Social butterfly or homebody?,Preference,Lifestyle,Social butterfly | homebody,Exact duplicate question text in the same sheet.
This or That,277,67,Rom-com or thriller?,Preference,Films & TV,Rom-com | thriller,Exact duplicate question text in the same sheet.
This or That,278,68,Series binge or movie night?,Preference,Films & TV,Series binge | movie night,Exact duplicate question text in the same sheet.
This or That,279,69,Live concert or quiet playlist?,Preference,Films & TV,Live concert | quiet playlist,Exact duplicate question text in the same sheet.
This or That,280,70,Dance party or singalong?,Preference,Films & TV,Dance party | singalong,Exact duplicate question text in the same sheet.
This or That,281,71,Stand-up comedy or drama film?,Preference,Films & TV,Stand-up comedy | drama film,Exact duplicate question text in the same sheet.
This or That,282,72,Horror movie or documentary?,Preference,Films & TV,Horror movie | documentary,Exact duplicate question text in the same sheet.
This or That,283,73,Game night or trivia night?,Preference,Films & TV,Game night | trivia night,Exact duplicate question text in the same sheet.
This or That,284,74,Classic film or new release?,Preference,Films & TV,Classic film | new release,Exact duplicate question text in the same sheet.
This or That,285,75,Karaoke bar or open mic?,Preference,Films & TV,Karaoke bar | open mic,Exact duplicate question text in the same sheet.
This or That,286,76,Film festival or music festival?,Preference,Films & TV,Film festival | music festival,Exact duplicate question text in the same sheet.
This or That,287,77,Introvert or extrovert?,Preference,Personality,Introvert | extrovert,Exact duplicate question text in the same sheet.
This or That,288,78,Optimist or realist?,Preference,Personality,Optimist | realist,Exact duplicate question text in the same sheet.
This or That,289,79,Listener or talker?,Preference,Personality,Listener | talker,Exact duplicate question text in the same sheet.
This or That,290,80,Leader or follower?,Preference,Personality,Leader | follower,Exact duplicate question text in the same sheet.
This or That,291,81,Organized or spontaneous?,Preference,Personality,Organized | spontaneous,Exact duplicate question text in the same sheet.
This or That,292,82,Book smart or street smart?,Preference,Personality,Book smart | street smart,Exact duplicate question text in the same sheet.
This or That,293,83,Dreamer or doer?,Preference,Personality,Dreamer | doer,Exact duplicate question text in the same sheet.
This or That,294,84,Calm or energetic?,Preference,Personality,Calm | energetic,Exact duplicate question text in the same sheet.
This or That,295,85,Creative or analytical?,Preference,Personality,Creative | analytical,Exact duplicate question text in the same sheet.
This or That,296,86,Patient or impulsive?,Preference,Personality,Patient | impulsive,Exact duplicate question text in the same sheet.
This or That,297,87,Early shower or late shower?,Preference,Habits,Early shower | late shower,Exact duplicate question text in the same sheet.
This or That,298,88,Healthy breakfast or skip breakfast?,Preference,Habits,Healthy breakfast | skip breakfast,Exact duplicate question text in the same sheet.
This or That,299,89,Texting or calling?,Preference,Habits,Texting | calling,Exact duplicate question text in the same sheet.
This or That,300,90,Dressing up or dressing down?,Preference,Habits,Dressing up | dressing down,Exact duplicate question text in the same sheet.
