Sheet,Game,Question,Category,Question Type,Options,Correct Answer,Active,Intensity,Tone,Relationship Area,Tags,Notes,Memory Lane Mode,Avoid If,Game Suitability,AI Use Case,Repeat Group,Default Answer Type,Answer Type,Unit Label,Scoring Divisor,Rounding Mode,Round Penalty Value,Fixed Penalty,Scoring Mode,Scoring Outcome Type,Source Label,Added By,Original Sheet,Original Question Type
This or That,This or That,Reading books or watching movies?,Lifestyle,Preference,Reading books | watching movies,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Dog person or cat person?,Lifestyle,Preference,Dog person | cat person,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Social butterfly or homebody?,Lifestyle,Preference,Social butterfly | homebody,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Rom-com or thriller?,Films & TV,Preference,Rom-com | thriller,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Series binge or movie night?,Films & TV,Preference,Series binge | movie night,,TRUE,2,playful,lifestyle,"entertainment, fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,entertainment,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Live concert or quiet playlist?,Films & TV,Preference,Live concert | quiet playlist,,TRUE,2,playful,lifestyle,"entertainment, fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,entertainment,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Dance party or singalong?,Films & TV,Preference,Dance party | singalong,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Stand-up comedy or drama film?,Films & TV,Preference,Stand-up comedy | drama film,,TRUE,2,playful,lifestyle,"entertainment, fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,entertainment,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Horror movie or documentary?,Films & TV,Preference,Horror movie | documentary,,TRUE,2,playful,lifestyle,"entertainment, fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,entertainment,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Game night or trivia night?,Films & TV,Preference,Game night | trivia night,,TRUE,2,competitive,lifestyle,"entertainment, sports, fun, lifestyle",,,,"quick-fire, warm-up",escalation,entertainment,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Classic film or new release?,Films & TV,Preference,Classic film | new release,,TRUE,2,playful,lifestyle,"entertainment, fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,entertainment,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Karaoke bar or open mic?,Films & TV,Preference,Karaoke bar | open mic,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Film festival or music festival?,Films & TV,Preference,Film festival | music festival,,TRUE,2,playful,lifestyle,"entertainment, fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,entertainment,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Introvert or extrovert?,Personality,Preference,Introvert | extrovert,,TRUE,3,playful,personality,"personality, fun, lifestyle, general",,,,"date-night, normal",deep-connection,personality,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Optimist or realist?,Personality,Preference,Optimist | realist,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Listener or talker?,Personality,Preference,Listener | talker,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Leader or follower?,Personality,Preference,Leader | follower,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Organized or spontaneous?,Personality,Preference,Organized | spontaneous,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Book smart or street smart?,Personality,Preference,Book smart | street smart,,TRUE,2,playful,lifestyle,"entertainment, fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,entertainment,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Dreamer or doer?,Personality,Preference,Dreamer | doer,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Calm or energetic?,Personality,Preference,Calm | energetic,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Creative or analytical?,Personality,Preference,Creative | analytical,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Patient or impulsive?,Personality,Preference,Patient | impulsive,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Early shower or late shower?,Habits,Preference,Early shower | late shower,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Healthy breakfast or skip breakfast?,Habits,Preference,Healthy breakfast | skip breakfast,,TRUE,2,playful,lifestyle,"lifestyle, health, fun, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Texting or calling?,Habits,Preference,Texting | calling,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Dressing up or dressing down?,Habits,Preference,Dressing up | dressing down,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Tidy desk or messy desk?,Habits,Preference,Tidy desk | messy desk,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Coffee first or tea first?,Habits,Preference,Coffee first | tea first,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Morning person or night person?,Habits,Preference,Morning person | night person,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Planning ahead or last minute?,Habits,Preference,Planning ahead | last minute,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Fresh flowers or scented candles?,Habits,Preference,Fresh flowers | scented candles,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Meal prep or spontaneous cooking?,Habits,Preference,Meal prep | spontaneous cooking,,TRUE,2,playful,lifestyle,"food, drink, lifestyle, fun",,,,"quick-fire, warm-up",funny-break,food-drink,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Rich and lonely or poor and loved?,Random / Wildcard,Preference,Rich and lonely | poor and loved,,TRUE,2,playful,lifestyle,"money, lifestyle, fun, general",,,,"quick-fire, warm-up",funny-break,finance,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Gift of flight or gift of invisibility?,Random / Wildcard,Preference,Gift of flight | gift of invisibility,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Time travel to past or future?,Random / Wildcard,Preference,Time travel to past | future,,TRUE,2,playful,future,"future, travel, lifestyle, fun",,,,"quick-fire, warm-up",funny-break,future-plans,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Win the lottery or find true love?,Random / Wildcard,Preference,Win the lottery | find true love,,TRUE,3,romantic,romance,"romantic, memories, future, fun",,,,"date-night, normal",romantic-moment,memories,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Live by the ocean or live in the forest?,Random / Wildcard,Preference,Live by the ocean | live in the forest,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Be able to read minds or talk to animals?,Random / Wildcard,Preference,able to read minds | talk to animals,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Infinite knowledge or infinite wealth?,Random / Wildcard,Preference,Infinite knowledge | infinite wealth,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Always hot or always cold?,Random / Wildcard,Preference,Always hot | always cold,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,See the future or change the past?,Random / Wildcard,Preference,See the future | change the past,,TRUE,2,playful,future,"future, fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,future-plans,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Have a pause button or rewind button?,Random / Wildcard,Preference,a pause button | rewind button,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Dominant or submissive?,Sexual,Preference,Dominant | submissive,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Candlelit dinner or breakfast in bed?,Sexual,Preference,Candlelit dinner | breakfast in bed,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Slow sensual kiss or playful peck?,Sexual,Preference,Slow sensual kiss | playful peck,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Dirty talk or romantic whispers?,Sexual,Preference,Dirty talk | romantic whispers,,TRUE,3,romantic,romance,"romantic, memories, future, fun",,,,"date-night, normal",romantic-moment,memories,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Tease or be teased?,Sexual,Preference,Tease | teased,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
This or That,This or That,Public flirt or private affection?,Sexual,Preference,Public flirt | private affection,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,
