Sheet,Game,Question,Category,Question Type,Options,Correct Answer,Active,Intensity,Tone,Relationship Area,Tags,Notes,Memory Lane Mode,Avoid If,Game Suitability,AI Use Case,Repeat Group,Default Answer Type,Answer Type,Unit Label,Scoring Divisor,Rounding Mode,Round Penalty Value,Fixed Penalty,Scoring Mode,Scoring Outcome Type,Source Label,Added By,Original Sheet,Original Question Type
Memory Lane,Memory Lane,What is your earliest clear memory of feeling completely safe that made you feel chosen?,Earliest Memories,Text Answer,,,TRUE,2,warm,Earliest Memories,earliest;safe;that-made-you-feel-chosen,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-12,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What is your earliest clear memory of feeling completely safe that made you grow up a bit?,Earliest Memories,Text Answer,,,TRUE,2,warm,Earliest Memories,earliest;safe;that-made-you-grow-up-a-bit,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-13,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What is your earliest clear memory of feeling completely safe that you wish you had a photo of?,Earliest Memories,Text Answer,,,TRUE,2,warm,Earliest Memories,earliest;safe;that-you-wish-you-had-a-photo-of,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-14,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,Name your top three childhood places that still feel important from before you met?,Childhood,Ranked / Top 3,,,TRUE,2,nostalgic,Childhood,childhood;places;from-before-you-met,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-0,ranked,ranked,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,Name your top three childhood places that still feel important from the early days of Jay and Kim?,Childhood,Ranked / Top 3,,,TRUE,2,nostalgic,Childhood,childhood;places;from-the-early-days-of-jay-and-kim,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-1,ranked,ranked,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,Name your top three childhood places that still feel important that you have never fully explained?,Childhood,Ranked / Top 3,,,TRUE,2,nostalgic,Childhood,childhood;places;that-you-have-never-fully-explained,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-2,ranked,ranked,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,Name your top three childhood places that still feel important that would make the other person understand you better?,Childhood,Ranked / Top 3,,,TRUE,2,nostalgic,Childhood,childhood;places;that-would-make-the-other-person-understand-you-better,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-3,ranked,ranked,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,Name your top three childhood places that still feel important that feels funnier now than it did then?,Childhood,Ranked / Top 3,,,TRUE,2,nostalgic,Childhood,childhood;places;that-feels-funnier-now-than-it-did-then,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-4,ranked,ranked,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,Name your top three childhood places that still feel important that still feels a bit tender?,Childhood,Ranked / Top 3,,,TRUE,2,nostalgic,Childhood,childhood;places;that-still-feels-a-bit-tender,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-5,ranked,ranked,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,Name your top three childhood places that still feel important that you would put in a private diary chapter?,Childhood,Ranked / Top 3,,,TRUE,2,nostalgic,Childhood,childhood;places;that-you-would-put-in-a-private-diary-chapter,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-6,ranked,ranked,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,"Name your top three childhood places that still feel important that involved a place, song, food, or smell?",Childhood,Ranked / Top 3,,,TRUE,2,nostalgic,Childhood,childhood;places;that-involved-a-place-song-food-or-smell,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-7,ranked,ranked,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,Name your top three childhood places that still feel important that changed how you see yourself?,Childhood,Ranked / Top 3,,,TRUE,2,nostalgic,Childhood,childhood;places;that-changed-how-you-see-yourself,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-8,ranked,ranked,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,Name your top three childhood places that still feel important that you would only tell someone you really trust?,Childhood,Ranked / Top 3,,,TRUE,2,nostalgic,Childhood,childhood;places;that-you-would-only-tell-someone-you-really-trust,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-9,ranked,ranked,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,Name your top three childhood places that still feel important that was slightly naughty but still sweet?,Childhood,Ranked / Top 3,,,TRUE,2,nostalgic,Childhood,childhood;places;that-was-slightly-naughty-but-still-sweet,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-10,ranked,ranked,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,Name your top three childhood places that still feel important that deserves to be remembered properly?,Childhood,Ranked / Top 3,,,TRUE,2,nostalgic,Childhood,childhood;places;that-deserves-to-be-remembered-properly,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-11,ranked,ranked,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,Name your top three childhood places that still feel important that made you feel chosen?,Childhood,Ranked / Top 3,,,TRUE,2,nostalgic,Childhood,childhood;places;that-made-you-feel-chosen,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-12,ranked,ranked,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,Name your top three childhood places that still feel important that made you grow up a bit?,Childhood,Ranked / Top 3,,,TRUE,2,nostalgic,Childhood,childhood;places;that-made-you-grow-up-a-bit,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-13,ranked,ranked,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,Name your top three childhood places that still feel important that you wish you had a photo of?,Childhood,Ranked / Top 3,,,TRUE,2,nostalgic,Childhood,childhood;places;that-you-wish-you-had-a-photo-of,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-14,ranked,ranked,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What achievement are you prouder of than people realise from before you met?,Achievements,Text Answer,,,TRUE,3,deep,Achievements,achievement;pride;from-before-you-met,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-0,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What achievement are you prouder of than people realise from the early days of Jay and Kim?,Achievements,Text Answer,,,TRUE,3,deep,Achievements,achievement;pride;from-the-early-days-of-jay-and-kim,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-1,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What achievement are you prouder of than people realise that you have never fully explained?,Achievements,Text Answer,,,TRUE,3,deep,Achievements,achievement;pride;that-you-have-never-fully-explained,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-2,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What achievement are you prouder of than people realise that would make the other person understand you better?,Achievements,Text Answer,,,TRUE,3,deep,Achievements,achievement;pride;that-would-make-the-other-person-understand-you-better,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-3,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What achievement are you prouder of than people realise that feels funnier now than it did then?,Achievements,Text Answer,,,TRUE,3,deep,Achievements,achievement;pride;that-feels-funnier-now-than-it-did-then,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-4,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What achievement are you prouder of than people realise that still feels a bit tender?,Achievements,Text Answer,,,TRUE,3,deep,Achievements,achievement;pride;that-still-feels-a-bit-tender,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-5,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What achievement are you prouder of than people realise that you would put in a private diary chapter?,Achievements,Text Answer,,,TRUE,3,deep,Achievements,achievement;pride;that-you-would-put-in-a-private-diary-chapter,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-6,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,"What achievement are you prouder of than people realise that involved a place, song, food, or smell?",Achievements,Text Answer,,,TRUE,3,deep,Achievements,achievement;pride;that-involved-a-place-song-food-or-smell,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-7,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What achievement are you prouder of than people realise that changed how you see yourself?,Achievements,Text Answer,,,TRUE,3,deep,Achievements,achievement;pride;that-changed-how-you-see-yourself,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-8,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What achievement are you prouder of than people realise that you would only tell someone you really trust?,Achievements,Text Answer,,,TRUE,3,deep,Achievements,achievement;pride;that-you-would-only-tell-someone-you-really-trust,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-9,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What achievement are you prouder of than people realise that was slightly naughty but still sweet?,Achievements,Text Answer,,,TRUE,3,deep,Achievements,achievement;pride;that-was-slightly-naughty-but-still-sweet,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-10,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What achievement are you prouder of than people realise that deserves to be remembered properly?,Achievements,Text Answer,,,TRUE,3,deep,Achievements,achievement;pride;that-deserves-to-be-remembered-properly,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-11,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What achievement are you prouder of than people realise that made you feel chosen?,Achievements,Text Answer,,,TRUE,3,deep,Achievements,achievement;pride;that-made-you-feel-chosen,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-12,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What achievement are you prouder of than people realise that made you grow up a bit?,Achievements,Text Answer,,,TRUE,3,deep,Achievements,achievement;pride;that-made-you-grow-up-a-bit,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-13,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What achievement are you prouder of than people realise that you wish you had a photo of?,Achievements,Text Answer,,,TRUE,3,deep,Achievements,achievement;pride;that-you-wish-you-had-a-photo-of,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-14,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What embarrassing moment can you laugh about now but absolutely could not laugh about then from before you met?,Embarrassments,Text Answer,,,TRUE,2,playful,Embarrassments,embarrassment;funny;from-before-you-met,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-embarrassments-4-0,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
Memory Lane,Memory Lane,What embarrassing moment can you laugh about now but absolutely could not laugh about then from the early days of Jay and Kim?,Embarrassments,Text Answer,,,TRUE,2,playful,Embarrassments,embarrassment;funny;from-the-early-days-of-jay-and-kim,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,,,Memory Lane,memory prompt;diary insight;relationship history,memory-embarrassments-4-1,text,text,,1,nearest,5,5,manual,memory,Memory Lane Draft May 2026,Codex,,
