Sheet,Game,Question,Category,Question Type,Options,Correct Answer,Active,Intensity,Tone,Relationship Area,Tags,Notes,Memory Lane Mode,Avoid If,Game Suitability,AI Use Case,Repeat Group,Original Sheet,Original Question Type
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Would you rather receive flowers or food as a surprise?,Romance,Preference,Flowers | Food,,TRUE,2,flirty,romance,"romance, gifts",,,,date-night,love-language,gifts,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Would you rather holiday abroad or in the UK?,Travel,Preference,Abroad | UK,,TRUE,1,playful,future,"travel, future",,,,normal,future-bonding,travel,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Would you rather always be early or always be late?,Habits,Preference,Always early | Always late,,TRUE,2,competitive,communication,"habits, punctuality",,,anger-issues,party,conflict-style,lateness,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Would you rather cook together or order takeaway?,Food,Preference,Cook together | Order takeaway,,TRUE,1,warm,connection,"food, couple",,,,date-night,couple-dynamics,food,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Would you rather go without TV or music for a month?,Entertainment,Preference,No TV | No music,,TRUE,2,playful,lifestyle,"entertainment, lifestyle",,,,normal,priority-check,media,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Would you rather text all day or call once?,Communication,Preference,Text all day | One phone call,,TRUE,2,romantic,communication,"communication, habits",,,,date-night,communication-style,contact,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Who is more likely to forget their charger?,Habits,Multiple Choice,Player 1 | Player 2 | Both | Neither,,TRUE,1,playful,lifestyle,"habits, funny",,,,party,light-fun,forgetful,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Who is more likely to fall asleep during a film?,Entertainment,Multiple Choice,Player 1 | Player 2 | Both | Neither,,TRUE,1,playful,lifestyle,"films, habits",,,,party,prediction-game,sleep,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Who is more likely to spend too long getting ready?,Habits,Multiple Choice,Player 1 | Player 2 | Both | Neither,,TRUE,2,playful,communication,"habits, funny",,,,party,light-fun,getting-ready,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Who is more likely to suggest takeaway?,Food,Multiple Choice,Player 1 | Player 2 | Both | Neither,,TRUE,1,playful,lifestyle,"food, habits",,,,quick-fire,food-patterns,takeaway,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Who is more likely to cry during a sad film?,Entertainment,Multiple Choice,Player 1 | Player 2 | Both | Neither,,TRUE,2,warm,emotion,"emotions, films",,,,normal,emotional-insight,crying,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Who is more likely to spend money impulsively?,Money,Multiple Choice,Player 1 | Player 2 | Both | Neither,,TRUE,2,competitive,money,"money, spending",,,financial-stress,party,money-style,spending,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Who is more likely to start dancing in public?,Funny,Multiple Choice,Player 1 | Player 2 | Both | Neither,,TRUE,1,playful,personality,"funny, confidence",,,,party,personality-scan,dancing,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Who is more likely to survive a zombie apocalypse?,Funny,Multiple Choice,Player 1 | Player 2 | Both | Neither,,TRUE,1,playful,personality,"funny, imagination",,,,party,light-fun,zombie,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Who is more likely to suggest a spontaneous trip?,Travel,Multiple Choice,Player 1 | Player 2 | Both | Neither,,TRUE,2,playful,future,"travel, spontaneity",,,,date-night,future-bonding,spontaneous,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,Who is more likely to check their phone at dinner?,Technology,Multiple Choice,Player 1 | Player 2 | Both | Neither,,TRUE,2,competitive,communication,"technology, habits",,,phone-addiction,party,habit-check,phone,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,True or false: I enjoy cheesy romantic gestures.,Romance,True or False,1 | 0,,TRUE,2,romantic,romance,"romance, affection",,,,date-night,romance-analysis,romance,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,True or false: I would rather stay home than go clubbing.,Social,True or False,1 | 0,,TRUE,1,playful,lifestyle,"social, lifestyle",,,,quick-fire,personality-scan,homebody,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,True or false: I check my phone too much.,Technology,True or False,1 | 0,,TRUE,1,playful,lifestyle,"technology, habits",,,,quick-fire,habit-check,phone,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,True or false: I enjoy planning holidays.,Travel,True or False,1 | 0,,TRUE,1,playful,future,"travel, planning",,,,normal,planning-style,travel,Put Your Money Where Your Mouth,
Put Your Money Where Your Mouth Is,Put Your Points Where Your Mouth Is,True or false: I could eat pizza every week.,Food,True or False,1 | 0,,TRUE,1,playful,lifestyle,"food, comfort",,,,quick-fire,food-patterns,pizza,Put Your Money Where Your Mouth,
