question,category,roundType,defaultAnswerType,answerType,multipleChoiceOptions,correctAnswer,tags,intensity,tone,relationshipArea,avoidIf,gameSuitability,aiUseCase,repeatGroup,unitLabel,scoringDivisor,roundingMode,roundPenaltyValue,fixedPenalty,scoringMode,scoringOutcomeType,notes,sourceLabel,addedBy,active
What is the first tiny moment you remember thinking this could become something that was slightly naughty but still sweet?,Us / Relationship Memories,text,text,text,,,relationship;firsts;that-was-slightly-naughty-but-still-sweet,3,romantic,Us / Relationship Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-10,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What is the first tiny moment you remember thinking this could become something that deserves to be remembered properly?,Us / Relationship Memories,text,text,text,,,relationship;firsts;that-deserves-to-be-remembered-properly,3,romantic,Us / Relationship Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-11,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What is the first tiny moment you remember thinking this could become something that made you feel chosen?,Us / Relationship Memories,text,text,text,,,relationship;firsts;that-made-you-feel-chosen,3,romantic,Us / Relationship Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-12,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What is the first tiny moment you remember thinking this could become something that made you grow up a bit?,Us / Relationship Memories,text,text,text,,,relationship;firsts;that-made-you-grow-up-a-bit,3,romantic,Us / Relationship Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-13,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What is the first tiny moment you remember thinking this could become something that you wish you had a photo of?,Us / Relationship Memories,text,text,text,,,relationship;firsts;that-you-wish-you-had-a-photo-of,3,romantic,Us / Relationship Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-us-relationship-memories-0-14,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What is your earliest clear memory of feeling completely safe from before you met?,Earliest Memories,text,text,text,,,earliest;safe;from-before-you-met,2,warm,Earliest Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-0,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What is your earliest clear memory of feeling completely safe from the early days of Jay and Kim?,Earliest Memories,text,text,text,,,earliest;safe;from-the-early-days-of-jay-and-kim,2,warm,Earliest Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-1,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What is your earliest clear memory of feeling completely safe that you have never fully explained?,Earliest Memories,text,text,text,,,earliest;safe;that-you-have-never-fully-explained,2,warm,Earliest Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-2,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What is your earliest clear memory of feeling completely safe that would make the other person understand you better?,Earliest Memories,text,text,text,,,earliest;safe;that-would-make-the-other-person-understand-you-better,2,warm,Earliest Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-3,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What is your earliest clear memory of feeling completely safe that feels funnier now than it did then?,Earliest Memories,text,text,text,,,earliest;safe;that-feels-funnier-now-than-it-did-then,2,warm,Earliest Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-4,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What is your earliest clear memory of feeling completely safe that still feels a bit tender?,Earliest Memories,text,text,text,,,earliest;safe;that-still-feels-a-bit-tender,2,warm,Earliest Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-5,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What is your earliest clear memory of feeling completely safe that you would put in a private diary chapter?,Earliest Memories,text,text,text,,,earliest;safe;that-you-would-put-in-a-private-diary-chapter,2,warm,Earliest Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-6,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
"What is your earliest clear memory of feeling completely safe that involved a place, song, food, or smell?",Earliest Memories,text,text,text,,,earliest;safe;that-involved-a-place-song-food-or-smell,2,warm,Earliest Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-7,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What is your earliest clear memory of feeling completely safe that changed how you see yourself?,Earliest Memories,text,text,text,,,earliest;safe;that-changed-how-you-see-yourself,2,warm,Earliest Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-8,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What is your earliest clear memory of feeling completely safe that you would only tell someone you really trust?,Earliest Memories,text,text,text,,,earliest;safe;that-you-would-only-tell-someone-you-really-trust,2,warm,Earliest Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-9,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What is your earliest clear memory of feeling completely safe that was slightly naughty but still sweet?,Earliest Memories,text,text,text,,,earliest;safe;that-was-slightly-naughty-but-still-sweet,2,warm,Earliest Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-10,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What is your earliest clear memory of feeling completely safe that deserves to be remembered properly?,Earliest Memories,text,text,text,,,earliest;safe;that-deserves-to-be-remembered-properly,2,warm,Earliest Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-11,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What is your earliest clear memory of feeling completely safe that made you feel chosen?,Earliest Memories,text,text,text,,,earliest;safe;that-made-you-feel-chosen,2,warm,Earliest Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-12,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What is your earliest clear memory of feeling completely safe that made you grow up a bit?,Earliest Memories,text,text,text,,,earliest;safe;that-made-you-grow-up-a-bit,2,warm,Earliest Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-13,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What is your earliest clear memory of feeling completely safe that you wish you had a photo of?,Earliest Memories,text,text,text,,,earliest;safe;that-you-wish-you-had-a-photo-of,2,warm,Earliest Memories,,Memory Lane,memory prompt;diary insight;relationship history,memory-earliest-memories-1-14,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
Name your top three childhood places that still feel important from before you met?,Childhood,ranked,ranked,ranked,,,childhood;places;from-before-you-met,2,nostalgic,Childhood,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-0,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
Name your top three childhood places that still feel important from the early days of Jay and Kim?,Childhood,ranked,ranked,ranked,,,childhood;places;from-the-early-days-of-jay-and-kim,2,nostalgic,Childhood,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-1,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
Name your top three childhood places that still feel important that you have never fully explained?,Childhood,ranked,ranked,ranked,,,childhood;places;that-you-have-never-fully-explained,2,nostalgic,Childhood,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-2,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
Name your top three childhood places that still feel important that would make the other person understand you better?,Childhood,ranked,ranked,ranked,,,childhood;places;that-would-make-the-other-person-understand-you-better,2,nostalgic,Childhood,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-3,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
Name your top three childhood places that still feel important that feels funnier now than it did then?,Childhood,ranked,ranked,ranked,,,childhood;places;that-feels-funnier-now-than-it-did-then,2,nostalgic,Childhood,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-4,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
Name your top three childhood places that still feel important that still feels a bit tender?,Childhood,ranked,ranked,ranked,,,childhood;places;that-still-feels-a-bit-tender,2,nostalgic,Childhood,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-5,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
Name your top three childhood places that still feel important that you would put in a private diary chapter?,Childhood,ranked,ranked,ranked,,,childhood;places;that-you-would-put-in-a-private-diary-chapter,2,nostalgic,Childhood,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-6,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
"Name your top three childhood places that still feel important that involved a place, song, food, or smell?",Childhood,ranked,ranked,ranked,,,childhood;places;that-involved-a-place-song-food-or-smell,2,nostalgic,Childhood,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-7,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
Name your top three childhood places that still feel important that changed how you see yourself?,Childhood,ranked,ranked,ranked,,,childhood;places;that-changed-how-you-see-yourself,2,nostalgic,Childhood,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-8,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
Name your top three childhood places that still feel important that you would only tell someone you really trust?,Childhood,ranked,ranked,ranked,,,childhood;places;that-you-would-only-tell-someone-you-really-trust,2,nostalgic,Childhood,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-9,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
Name your top three childhood places that still feel important that was slightly naughty but still sweet?,Childhood,ranked,ranked,ranked,,,childhood;places;that-was-slightly-naughty-but-still-sweet,2,nostalgic,Childhood,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-10,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
Name your top three childhood places that still feel important that deserves to be remembered properly?,Childhood,ranked,ranked,ranked,,,childhood;places;that-deserves-to-be-remembered-properly,2,nostalgic,Childhood,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-11,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
Name your top three childhood places that still feel important that made you feel chosen?,Childhood,ranked,ranked,ranked,,,childhood;places;that-made-you-feel-chosen,2,nostalgic,Childhood,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-12,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
Name your top three childhood places that still feel important that made you grow up a bit?,Childhood,ranked,ranked,ranked,,,childhood;places;that-made-you-grow-up-a-bit,2,nostalgic,Childhood,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-13,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
Name your top three childhood places that still feel important that you wish you had a photo of?,Childhood,ranked,ranked,ranked,,,childhood;places;that-you-wish-you-had-a-photo-of,2,nostalgic,Childhood,,Memory Lane,memory prompt;diary insight;relationship history,memory-childhood-2-14,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What achievement are you prouder of than people realise from before you met?,Achievements,text,text,text,,,achievement;pride;from-before-you-met,3,deep,Achievements,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-0,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What achievement are you prouder of than people realise from the early days of Jay and Kim?,Achievements,text,text,text,,,achievement;pride;from-the-early-days-of-jay-and-kim,3,deep,Achievements,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-1,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What achievement are you prouder of than people realise that you have never fully explained?,Achievements,text,text,text,,,achievement;pride;that-you-have-never-fully-explained,3,deep,Achievements,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-2,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What achievement are you prouder of than people realise that would make the other person understand you better?,Achievements,text,text,text,,,achievement;pride;that-would-make-the-other-person-understand-you-better,3,deep,Achievements,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-3,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What achievement are you prouder of than people realise that feels funnier now than it did then?,Achievements,text,text,text,,,achievement;pride;that-feels-funnier-now-than-it-did-then,3,deep,Achievements,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-4,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What achievement are you prouder of than people realise that still feels a bit tender?,Achievements,text,text,text,,,achievement;pride;that-still-feels-a-bit-tender,3,deep,Achievements,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-5,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What achievement are you prouder of than people realise that you would put in a private diary chapter?,Achievements,text,text,text,,,achievement;pride;that-you-would-put-in-a-private-diary-chapter,3,deep,Achievements,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-6,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
"What achievement are you prouder of than people realise that involved a place, song, food, or smell?",Achievements,text,text,text,,,achievement;pride;that-involved-a-place-song-food-or-smell,3,deep,Achievements,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-7,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What achievement are you prouder of than people realise that changed how you see yourself?,Achievements,text,text,text,,,achievement;pride;that-changed-how-you-see-yourself,3,deep,Achievements,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-8,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What achievement are you prouder of than people realise that you would only tell someone you really trust?,Achievements,text,text,text,,,achievement;pride;that-you-would-only-tell-someone-you-really-trust,3,deep,Achievements,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-9,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What achievement are you prouder of than people realise that was slightly naughty but still sweet?,Achievements,text,text,text,,,achievement;pride;that-was-slightly-naughty-but-still-sweet,3,deep,Achievements,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-10,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What achievement are you prouder of than people realise that deserves to be remembered properly?,Achievements,text,text,text,,,achievement;pride;that-deserves-to-be-remembered-properly,3,deep,Achievements,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-11,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What achievement are you prouder of than people realise that made you feel chosen?,Achievements,text,text,text,,,achievement;pride;that-made-you-feel-chosen,3,deep,Achievements,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-12,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What achievement are you prouder of than people realise that made you grow up a bit?,Achievements,text,text,text,,,achievement;pride;that-made-you-grow-up-a-bit,3,deep,Achievements,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-13,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What achievement are you prouder of than people realise that you wish you had a photo of?,Achievements,text,text,text,,,achievement;pride;that-you-wish-you-had-a-photo-of,3,deep,Achievements,,Memory Lane,memory prompt;diary insight;relationship history,memory-achievements-3-14,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What embarrassing moment can you laugh about now but absolutely could not laugh about then from before you met?,Embarrassments,text,text,text,,,embarrassment;funny;from-before-you-met,2,playful,Embarrassments,,Memory Lane,memory prompt;diary insight;relationship history,memory-embarrassments-4-0,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What embarrassing moment can you laugh about now but absolutely could not laugh about then from the early days of Jay and Kim?,Embarrassments,text,text,text,,,embarrassment;funny;from-the-early-days-of-jay-and-kim,2,playful,Embarrassments,,Memory Lane,memory prompt;diary insight;relationship history,memory-embarrassments-4-1,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What embarrassing moment can you laugh about now but absolutely could not laugh about then that you have never fully explained?,Embarrassments,text,text,text,,,embarrassment;funny;that-you-have-never-fully-explained,2,playful,Embarrassments,,Memory Lane,memory prompt;diary insight;relationship history,memory-embarrassments-4-2,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What embarrassing moment can you laugh about now but absolutely could not laugh about then that would make the other person understand you better?,Embarrassments,text,text,text,,,embarrassment;funny;that-would-make-the-other-person-understand-you-better,2,playful,Embarrassments,,Memory Lane,memory prompt;diary insight;relationship history,memory-embarrassments-4-3,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What embarrassing moment can you laugh about now but absolutely could not laugh about then that feels funnier now than it did then?,Embarrassments,text,text,text,,,embarrassment;funny;that-feels-funnier-now-than-it-did-then,2,playful,Embarrassments,,Memory Lane,memory prompt;diary insight;relationship history,memory-embarrassments-4-4,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What embarrassing moment can you laugh about now but absolutely could not laugh about then that still feels a bit tender?,Embarrassments,text,text,text,,,embarrassment;funny;that-still-feels-a-bit-tender,2,playful,Embarrassments,,Memory Lane,memory prompt;diary insight;relationship history,memory-embarrassments-4-5,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What embarrassing moment can you laugh about now but absolutely could not laugh about then that you would put in a private diary chapter?,Embarrassments,text,text,text,,,embarrassment;funny;that-you-would-put-in-a-private-diary-chapter,2,playful,Embarrassments,,Memory Lane,memory prompt;diary insight;relationship history,memory-embarrassments-4-6,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
"What embarrassing moment can you laugh about now but absolutely could not laugh about then that involved a place, song, food, or smell?",Embarrassments,text,text,text,,,embarrassment;funny;that-involved-a-place-song-food-or-smell,2,playful,Embarrassments,,Memory Lane,memory prompt;diary insight;relationship history,memory-embarrassments-4-7,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
What embarrassing moment can you laugh about now but absolutely could not laugh about then that changed how you see yourself?,Embarrassments,text,text,text,,,embarrassment;funny;that-changed-how-you-see-yourself,2,playful,Embarrassments,,Memory Lane,memory prompt;diary insight;relationship history,memory-embarrassments-4-8,,1,nearest,5,5,manual,memory,Sheet prompt for Memory Lane. The app also generates separate past-answer recall rounds automatically.,Memory Lane Draft May 2026,Codex,TRUE
