question,category,roundType,defaultAnswerType,answerType,multipleChoiceOptions,correctAnswer,tags,intensity,tone,relationshipArea,avoidIf,gameSuitability,aiUseCase,repeatGroup,unitLabel,scoringDivisor,roundingMode,roundPenaltyValue,fixedPenalty,scoringMode,scoringOutcomeType,notes,sourceLabel,addedBy,active
Your partner goes quiet and expects you to guess what is wrong,Communication,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,communication;judgement;relationship,2,playful,Communication,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-communication-4,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
Someone you are dating admits they were defensive after they have had time to think,Communication,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,communication;judgement;relationship,2,playful,Communication,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-communication-5,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"In a long-term relationship, your partner asks before sharing a private story about the two of you",Boundaries,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,boundaries;judgement;relationship,4,playful,Boundaries,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-boundaries-0,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"After a stressful week, your partner expects to know your phone password because you are together",Boundaries,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,boundaries;judgement;relationship,4,playful,Boundaries,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-boundaries-1,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"During a playful night together, your partner respects a no even when they are clearly disappointed",Boundaries,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,boundaries;judgement;relationship,4,playful,Boundaries,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-boundaries-2,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
Your partner makes a joke about your boundary in front of friends,Boundaries,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,boundaries;judgement;relationship,4,playful,Boundaries,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-boundaries-3,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
Someone you are dating checks consent before trying something new in bed,Boundaries,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,boundaries;judgement;relationship,4,playful,Boundaries,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-boundaries-4,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"In a long-term relationship, your partner keeps pushing for an answer after you say you need time",Boundaries,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,boundaries;judgement;relationship,4,playful,Boundaries,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-boundaries-5,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"After a stressful week, your partner gets protective when someone is clearly flirting with you",Jealousy,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,jealousy;judgement;relationship,2,playful,Jealousy,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-jealousy-0,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"During a playful night together, your partner asks a calm question about someone from your past instead of snooping",Jealousy,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,jealousy;judgement;relationship,2,playful,Jealousy,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-jealousy-1,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
Your partner makes a joke every time an ex is mentioned,Jealousy,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,jealousy;judgement;relationship,2,playful,Jealousy,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-jealousy-2,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
Someone you are dating wants reassurance after seeing a flirty comment online,Jealousy,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,jealousy;judgement;relationship,2,playful,Jealousy,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-jealousy-3,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"In a long-term relationship, your partner compares themselves to someone you used to date",Jealousy,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,jealousy;judgement;relationship,2,playful,Jealousy,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-jealousy-4,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"After a stressful week, your partner turns jealousy into playful flirting rather than an argument",Jealousy,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,jealousy;judgement;relationship,2,playful,Jealousy,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-jealousy-5,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"During a playful night together, your partner likes an exs photo but never speaks to them privately",Social Media,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,social-media;judgement;relationship,2,playful,Social Media,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-social-media-0,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
Your partner soft launches you online before you have agreed what to post,Social Media,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,social-media;judgement;relationship,2,playful,Social Media,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-social-media-1,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
Someone you are dating keeps your relationship mostly private but is affectionate in real life,Social Media,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,social-media;judgement;relationship,2,playful,Social Media,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-social-media-2,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"In a long-term relationship, your partner checks your stories to see who has viewed them",Social Media,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,social-media;judgement;relationship,2,playful,Social Media,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-social-media-3,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"After a stressful week, your partner sends you spicy memes during a family event",Social Media,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,social-media;judgement;relationship,2,playful,Social Media,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-social-media-4,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"During a playful night together, your partner posts a joke about your argument after you have made up",Social Media,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,social-media;judgement;relationship,2,playful,Social Media,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-social-media-5,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
Your partner secretly saves for something you both want,Money,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,money;judgement;relationship,2,playful,Money,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-money-0,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
Someone you are dating expects every bill to be split exactly even no matter the situation,Money,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,money;judgement;relationship,2,playful,Money,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-money-1,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"In a long-term relationship, your partner buys an expensive gift as an apology instead of talking properly",Money,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,money;judgement;relationship,2,playful,Money,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-money-2,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"After a stressful week, your partner is honest about money stress before it becomes a problem",Money,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,money;judgement;relationship,2,playful,Money,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-money-3,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"During a playful night together, your partner jokes about your spending in front of other people",Money,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,money;judgement;relationship,2,playful,Money,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-money-4,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
Your partner plans a cheap date and makes it feel thoughtful,Money,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,money;judgement;relationship,2,playful,Money,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-money-5,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
Someone you are dating defends you gently when family teasing goes too far,Friends & Family,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,friends-family;judgement;relationship,2,playful,Friends & Family,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-friends-family-0,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"In a long-term relationship, your partner tells their friends private details from your relationship",Friends & Family,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,friends-family;judgement;relationship,2,playful,Friends & Family,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-friends-family-1,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"After a stressful week, your partner makes real effort with your family even when they are nervous",Friends & Family,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,friends-family;judgement;relationship,2,playful,Friends & Family,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-friends-family-2,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"During a playful night together, your partner gets annoyed when you want separate time with friends",Friends & Family,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,friends-family;judgement;relationship,2,playful,Friends & Family,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-friends-family-3,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
Your partner checks in after a family event that felt tense,Friends & Family,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,friends-family;judgement;relationship,2,playful,Friends & Family,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-friends-family-4,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
Someone you are dating expects you to take their side before hearing the full story,Friends & Family,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,friends-family;judgement;relationship,2,playful,Friends & Family,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-friends-family-5,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"In a long-term relationship, your partner tells you about an awkward message before you discover it",Trust,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,trust;judgement;relationship,2,playful,Trust,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-trust-0,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"After a stressful week, your partner deletes messages because they think it will avoid drama",Trust,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,trust;judgement;relationship,2,playful,Trust,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-trust-1,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"During a playful night together, your partner admits a small mistake before it becomes a bigger secret",Trust,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,trust;judgement;relationship,2,playful,Trust,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-trust-2,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
Your partner asks to look through your phone after a bad dream,Trust,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,trust;judgement;relationship,2,playful,Trust,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-trust-3,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
Someone you are dating keeps a private note of gift ideas and personal details,Trust,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,trust;judgement;relationship,2,playful,Trust,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-trust-4,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"In a long-term relationship, your partner says they trust you but keeps testing you anyway",Trust,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,trust;judgement;relationship,2,playful,Trust,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-trust-5,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"After a stressful week, your partner sends a risky text while you are both meant to be concentrating",Sex & Intimacy,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,sex-intimacy;judgement;naughty,3,naughty-playful,Sex & Intimacy,Skip if either player wants a non-spicy session,Red Flag Green Flag,relationship judgement;diary insight,red-flag-sex-intimacy-0,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"During a playful night together, your partner asks what kind of teasing is actually fun for you",Sex & Intimacy,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,sex-intimacy;judgement;naughty,3,naughty-playful,Sex & Intimacy,Skip if either player wants a non-spicy session,Red Flag Green Flag,relationship judgement;diary insight,red-flag-sex-intimacy-1,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
Your partner buys something naughty for you both without checking first,Sex & Intimacy,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,sex-intimacy;judgement;naughty,3,naughty-playful,Sex & Intimacy,Skip if either player wants a non-spicy session,Red Flag Green Flag,relationship judgement;diary insight,red-flag-sex-intimacy-2,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
Someone you are dating remembers aftercare without being asked,Sex & Intimacy,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,sex-intimacy;judgement;naughty,3,naughty-playful,Sex & Intimacy,Skip if either player wants a non-spicy session,Red Flag Green Flag,relationship judgement;diary insight,red-flag-sex-intimacy-3,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"In a long-term relationship, your partner makes a private joke in public that only you two understand",Sex & Intimacy,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,sex-intimacy;judgement;naughty,3,naughty-playful,Sex & Intimacy,Skip if either player wants a non-spicy session,Red Flag Green Flag,relationship judgement;diary insight,red-flag-sex-intimacy-4,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"After a stressful week, your partner turns every cuddle into a negotiation for more",Sex & Intimacy,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,sex-intimacy;judgement;naughty,3,naughty-playful,Sex & Intimacy,Skip if either player wants a non-spicy session,Red Flag Green Flag,relationship judgement;diary insight,red-flag-sex-intimacy-5,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"During a playful night together, your partner asks for a clear yes before trying a new fantasy",Sex & Intimacy,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,sex-intimacy;judgement;naughty,3,naughty-playful,Sex & Intimacy,Skip if either player wants a non-spicy session,Red Flag Green Flag,relationship judgement;diary insight,red-flag-sex-intimacy-6,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
Your partner brags to a friend about something private between you,Sex & Intimacy,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,sex-intimacy;judgement;naughty,3,naughty-playful,Sex & Intimacy,Skip if either player wants a non-spicy session,Red Flag Green Flag,relationship judgement;diary insight,red-flag-sex-intimacy-7,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"During a playful night together, your partner knows your routine well enough to make your day easier",Habits,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,habits;judgement;relationship,2,playful,Habits,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-habits-0,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
Your partner leaves small messes because they know you will tidy them,Habits,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,habits;judgement;relationship,2,playful,Habits,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-habits-1,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
Someone you are dating makes a drink for you exactly how you like it,Habits,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,habits;judgement;relationship,2,playful,Habits,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-habits-2,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"In a long-term relationship, your partner uses weaponised helplessness for basic chores",Habits,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,habits;judgement;relationship,2,playful,Habits,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-habits-3,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"After a stressful week, your partner starts doing a habit you love because it matters to you",Habits,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,habits;judgement;relationship,2,playful,Habits,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-habits-4,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
"During a playful night together, your partner keeps score of every little favour",Habits,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,habits;judgement;relationship,2,playful,Habits,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-habits-5,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
Your partner wants one lazy day together with no plans at all,Lifestyle,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,lifestyle;judgement;relationship,2,playful,Lifestyle,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-lifestyle-0,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
Someone you are dating books a busy weekend without checking your energy first,Lifestyle,multipleChoice,multipleChoice,multipleChoice,Green Flag|Red Flag|Depends,,lifestyle;judgement;relationship,2,playful,Lifestyle,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-lifestyle-1,,1,nearest,10,10,automatic,choice-match,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",Red Flag Green Flag Draft May 2026,Codex,TRUE
