Sheet,Game,Question,Category,Question Type,Options,Correct Answer,Active,Intensity,Tone,Relationship Area,Tags,Notes,Memory Lane Mode,Avoid If,Game Suitability,AI Use Case,Repeat Group,Default Answer Type,Answer Type,Unit Label,Scoring Divisor,Rounding Mode,Round Penalty Value,Fixed Penalty,Scoring Mode,Scoring Outcome Type,Source Label,Added By,Original Sheet,Original Question Type
Red Flag Green Flag,Red Flag Green Flag,"In a long-term relationship, your partner keeps pushing for an answer after you say you need time",Boundaries,Multiple Choice,Green Flag | Red Flag | Depends,,1,4,playful,Boundaries,boundaries;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-boundaries-5,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"After a stressful week, your partner gets protective when someone is clearly flirting with you",Jealousy,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Jealousy,jealousy;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-jealousy-0,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"During a playful night together, your partner asks a calm question about someone from your past instead of snooping",Jealousy,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Jealousy,jealousy;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-jealousy-1,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,Your partner makes a joke every time an ex is mentioned,Jealousy,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Jealousy,jealousy;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-jealousy-2,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,Someone you are dating wants reassurance after seeing a flirty comment online,Jealousy,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Jealousy,jealousy;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-jealousy-3,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"In a long-term relationship, your partner compares themselves to someone you used to date",Jealousy,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Jealousy,jealousy;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-jealousy-4,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"After a stressful week, your partner turns jealousy into playful flirting rather than an argument",Jealousy,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Jealousy,jealousy;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-jealousy-5,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"During a playful night together, your partner likes an exs photo but never speaks to them privately",Social Media,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Social Media,social-media;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-social-media-0,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,Your partner soft launches you online before you have agreed what to post,Social Media,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Social Media,social-media;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-social-media-1,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,Someone you are dating keeps your relationship mostly private but is affectionate in real life,Social Media,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Social Media,social-media;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-social-media-2,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"In a long-term relationship, your partner checks your stories to see who has viewed them",Social Media,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Social Media,social-media;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-social-media-3,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"After a stressful week, your partner sends you spicy memes during a family event",Social Media,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Social Media,social-media;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-social-media-4,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"During a playful night together, your partner posts a joke about your argument after you have made up",Social Media,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Social Media,social-media;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-social-media-5,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,Your partner secretly saves for something you both want,Money,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Money,money;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-money-0,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,Someone you are dating expects every bill to be split exactly even no matter the situation,Money,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Money,money;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-money-1,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"In a long-term relationship, your partner buys an expensive gift as an apology instead of talking properly",Money,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Money,money;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-money-2,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"After a stressful week, your partner is honest about money stress before it becomes a problem",Money,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Money,money;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-money-3,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"During a playful night together, your partner jokes about your spending in front of other people",Money,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Money,money;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-money-4,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,Your partner plans a cheap date and makes it feel thoughtful,Money,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Money,money;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-money-5,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,Someone you are dating defends you gently when family teasing goes too far,Friends & Family,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Friends & Family,friends-family;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-friends-family-0,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"In a long-term relationship, your partner tells their friends private details from your relationship",Friends & Family,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Friends & Family,friends-family;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-friends-family-1,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"After a stressful week, your partner makes real effort with your family even when they are nervous",Friends & Family,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Friends & Family,friends-family;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-friends-family-2,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"During a playful night together, your partner gets annoyed when you want separate time with friends",Friends & Family,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Friends & Family,friends-family;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-friends-family-3,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,Your partner checks in after a family event that felt tense,Friends & Family,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Friends & Family,friends-family;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-friends-family-4,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,Someone you are dating expects you to take their side before hearing the full story,Friends & Family,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Friends & Family,friends-family;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-friends-family-5,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"In a long-term relationship, your partner tells you about an awkward message before you discover it",Trust,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Trust,trust;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-trust-0,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"After a stressful week, your partner deletes messages because they think it will avoid drama",Trust,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Trust,trust;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-trust-1,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"During a playful night together, your partner admits a small mistake before it becomes a bigger secret",Trust,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Trust,trust;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-trust-2,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,Your partner asks to look through your phone after a bad dream,Trust,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Trust,trust;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-trust-3,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,Someone you are dating keeps a private note of gift ideas and personal details,Trust,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Trust,trust;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-trust-4,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"In a long-term relationship, your partner says they trust you but keeps testing you anyway",Trust,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Trust,trust;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-trust-5,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"After a stressful week, your partner sends a risky text while you are both meant to be concentrating",Sex & Intimacy,Multiple Choice,Green Flag | Red Flag | Depends,,1,3,naughty-playful,Sex & Intimacy,sex-intimacy;judgement;naughty,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,Skip if either player wants a non-spicy session,Red Flag Green Flag,relationship judgement;diary insight,red-flag-sex-intimacy-0,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"During a playful night together, your partner asks what kind of teasing is actually fun for you",Sex & Intimacy,Multiple Choice,Green Flag | Red Flag | Depends,,1,3,naughty-playful,Sex & Intimacy,sex-intimacy;judgement;naughty,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,Skip if either player wants a non-spicy session,Red Flag Green Flag,relationship judgement;diary insight,red-flag-sex-intimacy-1,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,Your partner buys something naughty for you both without checking first,Sex & Intimacy,Multiple Choice,Green Flag | Red Flag | Depends,,1,3,naughty-playful,Sex & Intimacy,sex-intimacy;judgement;naughty,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,Skip if either player wants a non-spicy session,Red Flag Green Flag,relationship judgement;diary insight,red-flag-sex-intimacy-2,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,Someone you are dating remembers aftercare without being asked,Sex & Intimacy,Multiple Choice,Green Flag | Red Flag | Depends,,1,3,naughty-playful,Sex & Intimacy,sex-intimacy;judgement;naughty,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,Skip if either player wants a non-spicy session,Red Flag Green Flag,relationship judgement;diary insight,red-flag-sex-intimacy-3,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"In a long-term relationship, your partner makes a private joke in public that only you two understand",Sex & Intimacy,Multiple Choice,Green Flag | Red Flag | Depends,,1,3,naughty-playful,Sex & Intimacy,sex-intimacy;judgement;naughty,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,Skip if either player wants a non-spicy session,Red Flag Green Flag,relationship judgement;diary insight,red-flag-sex-intimacy-4,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"After a stressful week, your partner turns every cuddle into a negotiation for more",Sex & Intimacy,Multiple Choice,Green Flag | Red Flag | Depends,,1,3,naughty-playful,Sex & Intimacy,sex-intimacy;judgement;naughty,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,Skip if either player wants a non-spicy session,Red Flag Green Flag,relationship judgement;diary insight,red-flag-sex-intimacy-5,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"During a playful night together, your partner asks for a clear yes before trying a new fantasy",Sex & Intimacy,Multiple Choice,Green Flag | Red Flag | Depends,,1,3,naughty-playful,Sex & Intimacy,sex-intimacy;judgement;naughty,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,Skip if either player wants a non-spicy session,Red Flag Green Flag,relationship judgement;diary insight,red-flag-sex-intimacy-6,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,Your partner brags to a friend about something private between you,Sex & Intimacy,Multiple Choice,Green Flag | Red Flag | Depends,,1,3,naughty-playful,Sex & Intimacy,sex-intimacy;judgement;naughty,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,Skip if either player wants a non-spicy session,Red Flag Green Flag,relationship judgement;diary insight,red-flag-sex-intimacy-7,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
Red Flag Green Flag,Red Flag Green Flag,"During a playful night together, your partner knows your routine well enough to make your day easier",Habits,Multiple Choice,Green Flag | Red Flag | Depends,,1,2,playful,Habits,habits;judgement;relationship,"Players judge the scenario as Green Flag, Red Flag, or Depends, then guess each other.",,,Red Flag Green Flag,relationship judgement;diary insight,red-flag-habits-0,multipleChoice,multipleChoice,,1,nearest,10,10,automatic,choice-match,Red Flag Green Flag Draft May 2026,Codex,,
