Sheet,Game,Question,Category,Question Type,Options,Correct Answer,Active,Intensity,Tone,Relationship Area,Tags,Notes,Memory Lane Mode,Avoid If,Game Suitability,AI Use Case,Repeat Group,Default Answer Type,Answer Type,Unit Label,Scoring Divisor,Rounding Mode,Round Penalty Value,Fixed Penalty,Scoring Mode,Scoring Outcome Type,Source Label,Added By,Original Sheet,Original Question Type,Source Row,Removal Reason
Questions,Normal Game,Which bedroom habit is most likely Kim's?,Sexual,Multiple Choice,,,1,3,playful,habits,"personality, habits, fun, lifestyle",,,,"date-night, normal",deep-connection,habits,multipleChoice,multipleChoice,,,,,,,,,,,,1008,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What would make the other person feel most wanted?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1009,Removed: Multiple Choice row has no Options.
Questions,Normal Game,Which kind of teasing would be hardest to resist?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1010,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What would most likely make a date night end early?,Sexual,Multiple Choice,,,1,3,romantic,romance,"romantic, memories, future, fun",,,,"date-night, normal",romantic-moment,memories,multipleChoice,multipleChoice,,,,,,,,,,,,1011,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What is most likely to make Jay lose control first?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1042,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What is most likely to make Kim stop pretending she is innocent?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1043,Removed: Multiple Choice row has no Options.
Questions,Normal Game,"Which is the biggest turn-on: confidence, teasing, touch, or dirty talk?",Sexual,Multiple Choice,,,1,4,spicy,sex,"hot, emotional, sex-life, confidence, attraction, spicy",,,,"spicy-night, final-round",spicy-escalation,bedroom-intimacy,multipleChoice,multipleChoice,,,,,,,,,,,,1044,Removed: Multiple Choice row has no Options.
Questions,Normal Game,"Which is more dangerous: late cuddles, a risky text, a hotel room, or a shower together?",Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1045,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What would Jay most likely ask for if he had to be completely honest?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1046,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What would Kim most likely admit she enjoys more than she says?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1047,Removed: Multiple Choice row has no Options.
Questions,Normal Game,Which is most likely to turn a normal night naughty?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1048,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What would be the riskiest private signal between Jay and Kim?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1049,Removed: Multiple Choice row has no Options.
Questions,Normal Game,"Which would work fastest on Jay: compliments, kissing, teasing, or touch?",Sexual,Multiple Choice,,,1,4,spicy,sex,"sex-life, hot, attraction, spicy",,,,"spicy-night, final-round",spicy-escalation,bedroom-intimacy,multipleChoice,multipleChoice,,,,,,,,,,,,1050,Removed: Multiple Choice row has no Options.
Questions,Normal Game,"Which would work fastest on Kim: attention, confidence, slow kissing, or dirty talk?",Sexual,Multiple Choice,,,1,4,spicy,sex,"hot, emotional, sex-life, confidence, attraction, spicy",,,,"spicy-night, final-round",spicy-escalation,bedroom-intimacy,multipleChoice,multipleChoice,,,,,,,,,,,,1051,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What would most likely make one of you say “we should not be doing this now”?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1052,Removed: Multiple Choice row has no Options.
Questions,Normal Game,"Which fantasy category is most likely to come up first: control, location, roleplay, or teasing?",Sexual,Multiple Choice,,,1,4,spicy,sex,"sex-life, hot, attraction, spicy",,,sexual-boundary,"spicy-night, final-round",spicy-escalation,bedroom-intimacy,multipleChoice,multipleChoice,,,,,,,,,,,,1053,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What would be the most tempting bedroom rule to break?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1054,Removed: Multiple Choice row has no Options.
Questions,Normal Game,Which is most likely Jay’s secret weakness?,Sexual,Multiple Choice,,,1,4,playful,trust,"trust, fun, lifestyle, general",,,,"spicy-night, final-round",spicy-escalation,jealousy-trust,multipleChoice,multipleChoice,,,,,,,,,,,,1055,Removed: Multiple Choice row has no Options.
Questions,Normal Game,Which is most likely Kim’s secret weakness?,Sexual,Multiple Choice,,,1,4,playful,trust,"trust, fun, lifestyle, general",,,,"spicy-night, final-round",spicy-escalation,jealousy-trust,multipleChoice,multipleChoice,,,,,,,,,,,,1056,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What is the most likely cause of sexual tension between Jay and Kim?,Sexual,Multiple Choice,,,1,4,spicy,sex,"sex-life, hot, attraction, spicy",,,,"spicy-night, final-round",spicy-escalation,bedroom-intimacy,multipleChoice,multipleChoice,,,,,,,,,,,,1057,Removed: Multiple Choice row has no Options.
Questions,Normal Game,"What should happen more often: teasing, dirty talk, massages, or surprise intimacy?",Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1058,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What is the best way to start a naughty night?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1059,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What is the most dangerous outfit choice?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1060,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What would be the funniest thing to accidentally say during sex?,Sexual,Multiple Choice,,,1,4,spicy,sex,"sex-life, hot, attraction, spicy",,,,"spicy-night, final-round",spicy-escalation,bedroom-intimacy,multipleChoice,multipleChoice,,,,,,,,,,,,1061,Removed: Multiple Choice row has no Options.
Questions,Normal Game,"Which is most likely to get out of hand: a dare, a massage, a shower, or cuddling?",Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1062,Removed: Multiple Choice row has no Options.
Questions,Normal Game,"What would Jay choose first: quickie, slow build-up, risky place, or new fantasy?",Sexual,Multiple Choice,,,1,4,spicy,sex,"hot, lifestyle, sex-life, travel, future, attraction, spicy",,,,"spicy-night, final-round",spicy-escalation,bedroom-intimacy,multipleChoice,multipleChoice,,,,,,,,,,,,1063,Removed: Multiple Choice row has no Options.
Questions,Normal Game,"What would Kim choose first: teasing, control, praise, or romance?",Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1064,Removed: Multiple Choice row has no Options.
Questions,Normal Game,Which private challenge would be hardest to resist?,Sexual,Multiple Choice,,,1,2,competitive,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",escalation,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1065,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What is most likely to make the other feel desired?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1066,Removed: Multiple Choice row has no Options.
Questions,Normal Game,"Which is more powerful: being wanted, being praised, being teased, or being chased?",Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1067,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What would be the most tempting hotel rule?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1068,Removed: Multiple Choice row has no Options.
Questions,Normal Game,Which would be the spiciest game punishment?,Sexual,Multiple Choice,,,1,2,competitive,lifestyle,"entertainment, sports, fun, lifestyle",,,,"quick-fire, warm-up",escalation,entertainment,multipleChoice,multipleChoice,,,,,,,,,,,,1069,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What would be the best reward for winning a spicy game?,Sexual,Multiple Choice,,,1,2,competitive,lifestyle,"entertainment, sports, fun, lifestyle",,,,"quick-fire, warm-up",escalation,entertainment,multipleChoice,multipleChoice,,,,,,,,,,,,1070,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What would be the best punishment for losing a spicy game?,Sexual,Multiple Choice,,,1,2,competitive,lifestyle,"entertainment, sports, fun, lifestyle",,,,"quick-fire, warm-up",escalation,entertainment,multipleChoice,multipleChoice,,,,,,,,,,,,1071,Removed: Multiple Choice row has no Options.
Questions,Normal Game,"What makes intimacy better: confidence, honesty, playfulness, or trust?",Sexual,Multiple Choice,,,1,4,emotional,trust,"trust, confidence, emotional, fun",,,,"spicy-night, final-round",spicy-escalation,jealousy-trust,multipleChoice,multipleChoice,,,,,,,,,,,,1072,Removed: Multiple Choice row has no Options.
Questions,Normal Game,"Which moment is most likely to lead to sex: after a date, after a fight, late night, or lazy morning?",Sexual,Multiple Choice,,,1,4,savage,sex,"hot, savage, sex-life, attraction, spicy",,,argument-risk,"spicy-night, final-round",spicy-escalation,bedroom-intimacy,multipleChoice,multipleChoice,,,,,,,,,,,,1073,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What would the other secretly want more of?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1074,Removed: Multiple Choice row has no Options.
Questions,Normal Game,"Which is the best way to create tension: distance, teasing, compliments, or touch?",Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1075,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What would be the boldest thing Jay could suggest?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1076,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What would be the boldest thing Kim could suggest?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1077,Removed: Multiple Choice row has no Options.
Questions,Normal Game,Which spicy rule would be hardest to follow?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1078,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What should the next naughty dare be?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1079,Removed: Multiple Choice row has no Options.
Questions,Normal Game,"Which would Jay pick first: risky message, long kiss, or straight to bed?",Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1259,Removed: Multiple Choice row has no Options.
Questions,Normal Game,"Which would Kim pick first: teasing, cuddles, or taking control?",Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1260,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What is the most likely reason one of you starts laughing during sex?,Sexual,Multiple Choice,,,1,4,spicy,sex,"sex-life, hot, attraction, spicy",,,,"spicy-night, final-round",spicy-escalation,bedroom-intimacy,multipleChoice,multipleChoice,,,,,,,,,,,,1261,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What would be the most likely private signal that one of you wants intimacy?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1262,Removed: Multiple Choice row has no Options.
Questions,Normal Game,"Which is most likely to start: kissing, teasing, or dirty talking?",Sexual,Multiple Choice,,,1,4,spicy,sex,"sex-life, hot, attraction, spicy",,,,"spicy-night, final-round",spicy-escalation,bedroom-intimacy,multipleChoice,multipleChoice,,,,,,,,,,,,1263,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What would Jay most likely notice first when Kim is trying to be sexy?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1264,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What would Kim most likely notice first when Jay is trying to be sexy?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1265,Removed: Multiple Choice row has no Options.
Questions,Normal Game,"Which is more likely to work: compliments, touch, or eye contact?",Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1266,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What would make the other feel most confident sexually?,Sexual,Multiple Choice,,,1,3,emotional,lifestyle,"confidence, emotional, fun, lifestyle",,,,"date-night, normal",deep-connection,confidence-risk,multipleChoice,multipleChoice,,,,,,,,,,,,1267,Removed: Multiple Choice row has no Options.
Questions,Normal Game,What would be the most likely naughty surprise?,Sexual,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1268,Removed: Multiple Choice row has no Options.
Questions,Normal Game,Who is more stubborn?,Personality,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1526,Removed: Multiple Choice row has no Options.
Questions,Normal Game,Who is more dramatic when ill?,Health & Wellness,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1623,Removed: Multiple Choice row has no Options.
Questions,Normal Game,Who is the better passenger princess?,Cars & Driving,Multiple Choice,,,1,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,multipleChoice,multipleChoice,,,,,,,,,,,,1683,Removed: Multiple Choice row has no Options.
